frame,alpha_overlay,edge_overlay,refined_render,refined_xy_error_m,refined_yaw_error_deg,refined_chamfer,refined_overlap
000023.jpg,alpha/000023_refined_query_alpha.jpg,edges/000023_refined_query_edges.jpg,refined_render/000023_refined_render.jpg,7.451818592298957,177.9497049058158,1.2433871030807495,0.7539692896602723
000024.jpg,alpha/000024_refined_query_alpha.jpg,edges/000024_refined_query_edges.jpg,refined_render/000024_refined_render.jpg,7.360570935804834,177.95331415512737,1.268393874168396,0.7514262073770849
000025.jpg,alpha/000025_refined_query_alpha.jpg,edges/000025_refined_query_edges.jpg,refined_render/000025_refined_render.jpg,7.152692593658474,177.96088666261107,1.261704444885254,0.7526353384272387
000026.jpg,alpha/000026_refined_query_alpha.jpg,edges/000026_refined_query_edges.jpg,refined_render/000026_refined_render.jpg,7.584035985244256,177.9575147338876,1.2787573337554932,0.7488236563781567
000027.jpg,alpha/000027_refined_query_alpha.jpg,edges/000027_refined_query_edges.jpg,refined_render/000027_refined_render.jpg,7.166893780663073,177.95616670533275,1.2228337526321411,0.7641156797167027
000028.jpg,alpha/000028_refined_query_alpha.jpg,edges/000028_refined_query_edges.jpg,refined_render/000028_refined_render.jpg,7.4058189356716015,177.95116219744466,1.2630999088287354,0.7506702997275204
000029.jpg,alpha/000029_refined_query_alpha.jpg,edges/000029_refined_query_edges.jpg,refined_render/000029_refined_render.jpg,7.04849938007619,177.96366967580457,1.2417430877685547,0.7588259486136063
000030.jpg,alpha/000030_refined_query_alpha.jpg,edges/000030_refined_query_edges.jpg,refined_render/000030_refined_render.jpg,7.551322356326033,177.95421772567494,1.245885968208313,0.7566126047676064
000031.jpg,alpha/000031_refined_query_alpha.jpg,edges/000031_refined_query_edges.jpg,refined_render/000031_refined_render.jpg,7.222980699463666,177.9505324438445,1.227553367614746,0.7579340115837654
000032.jpg,alpha/000032_refined_query_alpha.jpg,edges/000032_refined_query_edges.jpg,refined_render/000032_refined_render.jpg,7.29081162638565,177.95562286943004,1.2335149049758911,0.7615580314062637
000033.jpg,alpha/000033_refined_query_alpha.jpg,edges/000033_refined_query_edges.jpg,refined_render/000033_refined_render.jpg,7.456743684361093,177.96211739851367,1.2297765016555786,0.7645905069084252
000034.jpg,alpha/000034_refined_query_alpha.jpg,edges/000034_refined_query_edges.jpg,refined_render/000034_refined_render.jpg,7.4132838929611555,177.9585756771595,1.2096929550170898,0.7668402815612265
000035.jpg,alpha/000035_refined_query_alpha.jpg,edges/000035_refined_query_edges.jpg,refined_render/000035_refined_render.jpg,7.105172887028373,177.96415394048,1.2117441892623901,0.7632598299106274
000036.jpg,alpha/000036_refined_query_alpha.jpg,edges/000036_refined_query_edges.jpg,refined_render/000036_refined_render.jpg,7.207777276776984,177.9666921115607,1.2217210531234741,0.7625051539680129
000037.jpg,alpha/000037_refined_query_alpha.jpg,edges/000037_refined_query_edges.jpg,refined_render/000037_refined_render.jpg,7.100544392188244,177.96484582464814,1.2163631916046143,0.7656118914965474
000038.jpg,alpha/000038_refined_query_alpha.jpg,edges/000038_refined_query_edges.jpg,refined_render/000038_refined_render.jpg,7.625969035908253,177.9681840304424,1.2527260780334473,0.7569865028551652
000039.jpg,alpha/000039_refined_query_alpha.jpg,edges/000039_refined_query_edges.jpg,refined_render/000039_refined_render.jpg,7.42201950262559,177.97093706393787,1.2362490892410278,0.7604090889640122
000040.jpg,alpha/000040_refined_query_alpha.jpg,edges/000040_refined_query_edges.jpg,refined_render/000040_refined_render.jpg,7.394955356829413,177.96878302388694,1.2242681980133057,0.7607511251803519
000041.jpg,alpha/000041_refined_query_alpha.jpg,edges/000041_refined_query_edges.jpg,refined_render/000041_refined_render.jpg,7.6554086554561955,177.95566886125118,1.2119728326797485,0.7654609852956961
000042.jpg,alpha/000042_refined_query_alpha.jpg,edges/000042_refined_query_edges.jpg,refined_render/000042_refined_render.jpg,7.2233470108122555,177.9586684187218,1.2130941152572632,0.7667757069685361
000043.jpg,alpha/000043_refined_query_alpha.jpg,edges/000043_refined_query_edges.jpg,refined_render/000043_refined_render.jpg,7.2971363193989,177.9611317327254,1.234175443649292,0.7580704447663733
000044.jpg,alpha/000044_refined_query_alpha.jpg,edges/000044_refined_query_edges.jpg,refined_render/000044_refined_render.jpg,7.322664049196603,177.9701185218114,1.2424041032791138,0.7598661485319517
000045.jpg,alpha/000045_refined_query_alpha.jpg,edges/000045_refined_query_edges.jpg,refined_render/000045_refined_render.jpg,7.284055364318786,177.96765040596046,1.2302823066711426,0.7630187539115609
000046.jpg,alpha/000046_refined_query_alpha.jpg,edges/000046_refined_query_edges.jpg,refined_render/000046_refined_render.jpg,7.229320380974936,177.96136590181237,1.2466827630996704,0.7553966051030212
000047.jpg,alpha/000047_refined_query_alpha.jpg,edges/000047_refined_query_edges.jpg,refined_render/000047_refined_render.jpg,7.239541083377473,177.95669864190165,1.2282893657684326,0.7636674753075724
000048.jpg,alpha/000048_refined_query_alpha.jpg,edges/000048_refined_query_edges.jpg,refined_render/000048_refined_render.jpg,7.416801313031941,177.9648967452053,1.2206902503967285,0.7640521616239481
000049.jpg,alpha/000049_refined_query_alpha.jpg,edges/000049_refined_query_edges.jpg,refined_render/000049_refined_render.jpg,6.8709167195147645,177.95804592240552,1.2267943620681763,0.7620894695338974
000050.jpg,alpha/000050_refined_query_alpha.jpg,edges/000050_refined_query_edges.jpg,refined_render/000050_refined_render.jpg,7.619958315690953,177.9777280890363,1.234702467918396,0.7607826180953411
000051.jpg,alpha/000051_refined_query_alpha.jpg,edges/000051_refined_query_edges.jpg,refined_render/000051_refined_render.jpg,7.469743083163345,177.96006006833397,1.2373701333999634,0.760514804845222
000052.jpg,alpha/000052_refined_query_alpha.jpg,edges/000052_refined_query_edges.jpg,refined_render/000052_refined_render.jpg,7.385985601632127,177.95976122840284,1.2368192672729492,0.7623335609423011
000053.jpg,alpha/000053_refined_query_alpha.jpg,edges/000053_refined_query_edges.jpg,refined_render/000053_refined_render.jpg,7.458715113214201,177.97379150936445,1.2263753414154053,0.7613413907566602
000054.jpg,alpha/000054_refined_query_alpha.jpg,edges/000054_refined_query_edges.jpg,refined_render/000054_refined_render.jpg,7.4590934816864625,177.96256253485205,1.2256724834442139,0.7633265892876158
000055.jpg,alpha/000055_refined_query_alpha.jpg,edges/000055_refined_query_edges.jpg,refined_render/000055_refined_render.jpg,7.513711324821711,177.96638186804034,1.2313765287399292,0.7590602455789407
000056.jpg,alpha/000056_refined_query_alpha.jpg,edges/000056_refined_query_edges.jpg,refined_render/000056_refined_render.jpg,7.367505079062988,177.9659606851434,1.2235394716262817,0.7618440891040751
000057.jpg,alpha/000057_refined_query_alpha.jpg,edges/000057_refined_query_edges.jpg,refined_render/000057_refined_render.jpg,7.4615064013562975,177.9674780104666,1.210644006729126,0.7654816021957286
000058.jpg,alpha/000058_refined_query_alpha.jpg,edges/000058_refined_query_edges.jpg,refined_render/000058_refined_render.jpg,7.796301860161202,177.94905550654443,1.2406483888626099,0.7544071531485719
000059.jpg,alpha/000059_refined_query_alpha.jpg,edges/000059_refined_query_edges.jpg,refined_render/000059_refined_render.jpg,7.380550835951312,177.95916297399236,1.201953411102295,0.7672976152283179
000060.jpg,alpha/000060_refined_query_alpha.jpg,edges/000060_refined_query_edges.jpg,refined_render/000060_refined_render.jpg,7.152319376878572,177.96528393293772,1.2224825620651245,0.7619128298530221
000061.jpg,alpha/000061_refined_query_alpha.jpg,edges/000061_refined_query_edges.jpg,refined_render/000061_refined_render.jpg,7.183437690341145,177.95794063767846,1.215729832649231,0.7668219626864085
000062.jpg,alpha/000062_refined_query_alpha.jpg,edges/000062_refined_query_edges.jpg,refined_render/000062_refined_render.jpg,7.418140983003476,177.96146327445751,1.2308955192565918,0.7580396522930672
000063.jpg,alpha/000063_refined_query_alpha.jpg,edges/000063_refined_query_edges.jpg,refined_render/000063_refined_render.jpg,7.011825747363111,177.95535442157052,1.183939814567566,0.7718846987798138
000064.jpg,alpha/000064_refined_query_alpha.jpg,edges/000064_refined_query_edges.jpg,refined_render/000064_refined_render.jpg,7.2307104932148665,177.9579806455639,1.1914384365081787,0.7692356973540906
000065.jpg,alpha/000065_refined_query_alpha.jpg,edges/000065_refined_query_edges.jpg,refined_render/000065_refined_render.jpg,7.4634131913692405,177.9659656382804,1.202031135559082,0.7677786233722307
000066.jpg,alpha/000066_refined_query_alpha.jpg,edges/000066_refined_query_edges.jpg,refined_render/000066_refined_render.jpg,7.483566433291644,177.95269860205218,1.2536804676055908,0.7517761895726603
000067.jpg,alpha/000067_refined_query_alpha.jpg,edges/000067_refined_query_edges.jpg,refined_render/000067_refined_render.jpg,7.280151103563262,177.96163665819915,1.208182692527771,0.7646061582148382
000068.jpg,alpha/000068_refined_query_alpha.jpg,edges/000068_refined_query_edges.jpg,refined_render/000068_refined_render.jpg,7.309383886522813,177.95436149271075,1.2215596437454224,0.7640194284993377
000069.jpg,alpha/000069_refined_query_alpha.jpg,edges/000069_refined_query_edges.jpg,refined_render/000069_refined_render.jpg,7.38600177471377,177.96772362767365,1.2163500785827637,0.7619469213094711
000070.jpg,alpha/000070_refined_query_alpha.jpg,edges/000070_refined_query_edges.jpg,refined_render/000070_refined_render.jpg,7.377530762852858,177.9748659406937,1.2104517221450806,0.7627510293252668
000071.jpg,alpha/000071_refined_query_alpha.jpg,edges/000071_refined_query_edges.jpg,refined_render/000071_refined_render.jpg,7.377970223170906,177.96032904046092,1.2040221691131592,0.7670222713362802
000072.jpg,alpha/000072_refined_query_alpha.jpg,edges/000072_refined_query_edges.jpg,refined_render/000072_refined_render.jpg,7.355337558560888,177.96091831691393,1.2168028354644775,0.7652703956804184
000073.jpg,alpha/000073_refined_query_alpha.jpg,edges/000073_refined_query_edges.jpg,refined_render/000073_refined_render.jpg,7.523691039343921,177.9540730875009,1.2230950593948364,0.7630539151123763
000074.jpg,alpha/000074_refined_query_alpha.jpg,edges/000074_refined_query_edges.jpg,refined_render/000074_refined_render.jpg,7.389128808522164,177.95433651971183,1.2144635915756226,0.7647717193901254
000075.jpg,alpha/000075_refined_query_alpha.jpg,edges/000075_refined_query_edges.jpg,refined_render/000075_refined_render.jpg,7.17498573431841,177.94629329578186,1.1900911331176758,0.774100236862515
000076.jpg,alpha/000076_refined_query_alpha.jpg,edges/000076_refined_query_edges.jpg,refined_render/000076_refined_render.jpg,7.040360141240284,177.96232626579058,1.2078373432159424,0.764633966400371
000077.jpg,alpha/000077_refined_query_alpha.jpg,edges/000077_refined_query_edges.jpg,refined_render/000077_refined_render.jpg,7.207029331268595,177.9609700369562,1.1958041191101074,0.7701588239016262
000078.jpg,alpha/000078_refined_query_alpha.jpg,edges/000078_refined_query_edges.jpg,refined_render/000078_refined_render.jpg,7.477858390112646,177.9617249908913,1.2044525146484375,0.7680533007231862
000079.jpg,alpha/000079_refined_query_alpha.jpg,edges/000079_refined_query_edges.jpg,refined_render/000079_refined_render.jpg,7.69712187566431,177.96346695619684,1.1900633573532104,0.7725303839522267
000080.jpg,alpha/000080_refined_query_alpha.jpg,edges/000080_refined_query_edges.jpg,refined_render/000080_refined_render.jpg,7.565463851443016,177.95551544838918,1.2257663011550903,0.7641986135471478
000081.jpg,alpha/000081_refined_query_alpha.jpg,edges/000081_refined_query_edges.jpg,refined_render/000081_refined_render.jpg,7.185642236208829,177.96307201296815,1.2180325984954834,0.7685445513159286
000082.jpg,alpha/000082_refined_query_alpha.jpg,edges/000082_refined_query_edges.jpg,refined_render/000082_refined_render.jpg,7.72025270283014,177.96122642858506,1.2280405759811401,0.7634291915355399
000083.jpg,alpha/000083_refined_query_alpha.jpg,edges/000083_refined_query_edges.jpg,refined_render/000083_refined_render.jpg,6.829093477413486,177.96066250800288,1.1951930522918701,0.7703738100766194
000084.jpg,alpha/000084_refined_query_alpha.jpg,edges/000084_refined_query_edges.jpg,refined_render/000084_refined_render.jpg,7.395730036799948,177.95998582370095,1.2179970741271973,0.7645663672235748
000085.jpg,alpha/000085_refined_query_alpha.jpg,edges/000085_refined_query_edges.jpg,refined_render/000085_refined_render.jpg,7.219741449634032,177.9610703295985,1.2135506868362427,0.7635726423109601
000086.jpg,alpha/000086_refined_query_alpha.jpg,edges/000086_refined_query_edges.jpg,refined_render/000086_refined_render.jpg,7.262834499772935,177.97250110316554,1.2182848453521729,0.7669421836123645
000087.jpg,alpha/000087_refined_query_alpha.jpg,edges/000087_refined_query_edges.jpg,refined_render/000087_refined_render.jpg,6.955177106761101,177.96382406174,1.2085344791412354,0.7712339743589743
000088.jpg,alpha/000088_refined_query_alpha.jpg,edges/000088_refined_query_edges.jpg,refined_render/000088_refined_render.jpg,7.404808093025644,177.95870138780322,1.2074267864227295,0.7693695205335794
000089.jpg,alpha/000089_refined_query_alpha.jpg,edges/000089_refined_query_edges.jpg,refined_render/000089_refined_render.jpg,7.277284954842284,177.96244674093526,1.2127010822296143,0.7652057432291013
000090.jpg,alpha/000090_refined_query_alpha.jpg,edges/000090_refined_query_edges.jpg,refined_render/000090_refined_render.jpg,7.276280564330059,177.96944077658918,1.193442940711975,0.7724976218158757
000091.jpg,alpha/000091_refined_query_alpha.jpg,edges/000091_refined_query_edges.jpg,refined_render/000091_refined_render.jpg,6.9667581021659855,177.95135991398183,1.1953001022338867,0.7710349490766175
000092.jpg,alpha/000092_refined_query_alpha.jpg,edges/000092_refined_query_edges.jpg,refined_render/000092_refined_render.jpg,7.513339016180428,177.95599953886023,1.2138601541519165,0.7696639838611385
000093.jpg,alpha/000093_refined_query_alpha.jpg,edges/000093_refined_query_edges.jpg,refined_render/000093_refined_render.jpg,7.560593551771957,177.95861977782135,1.2107936143875122,0.7701620570897336
000094.jpg,alpha/000094_refined_query_alpha.jpg,edges/000094_refined_query_edges.jpg,refined_render/000094_refined_render.jpg,7.938151855994622,177.95938087509444,1.2311173677444458,0.7669726305225082
000095.jpg,alpha/000095_refined_query_alpha.jpg,edges/000095_refined_query_edges.jpg,refined_render/000095_refined_render.jpg,7.482335469778965,177.9507276819461,1.2216588258743286,0.7643051483770273
000096.jpg,alpha/000096_refined_query_alpha.jpg,edges/000096_refined_query_edges.jpg,refined_render/000096_refined_render.jpg,7.350756779866247,177.96570394297265,1.211995244026184,0.7679269611513185
000097.jpg,alpha/000097_refined_query_alpha.jpg,edges/000097_refined_query_edges.jpg,refined_render/000097_refined_render.jpg,7.092129784541845,177.9525735664272,1.2160946130752563,0.7677080698203895
000098.jpg,alpha/000098_refined_query_alpha.jpg,edges/000098_refined_query_edges.jpg,refined_render/000098_refined_render.jpg,7.176688738867836,177.96234550908525,1.230509638786316,0.7644666875195496
000099.jpg,alpha/000099_refined_query_alpha.jpg,edges/000099_refined_query_edges.jpg,refined_render/000099_refined_render.jpg,7.115262616664009,177.96171618564279,1.2180105447769165,0.7663474519068512
